Pakrat v0.95 - by Rof (rof@mellish.org.uk)
Listing pak files from /home/insserver/serverfiles/insurgency/maps/baghdad_ws.bsp
Pak file at offset 44685692, length 193990884 bytes
Pak lump entries: 2806
materials/maps/baghdad_ws/maps/terrain/baghdad_blend_01_wvt_patch.vmt   (Material,  165 bytes)
materials/maps/baghdad_ws/maps/terrain/baghdad_blend_02_wvt_patch.vmt   (Material,  135 bytes)
materials/maps/baghdad_ws/maps/terrain/baghdad_blend_03_wvt_patch.vmt   (Material,  135 bytes)
materials/maps/baghdad_ws/maps/road/asphalt_sand_blend01_wvt_patch.vmt   (Material,  135 bytes)
materials/maps/baghdad_ws/maps/road/asphalt_sand_blend02_wvt_patch.vmt   (Material,  137 bytes)
materials/maps/baghdad_ws/maps/terrain/baghdad_blend_07_wvt_patch.vmt   (Material,  132 bytes)
materials/maps/baghdad_ws/maps/store/storefront_01b_stw_-5100_2677_165.vmt   (Material,  142 bytes)
materials/maps/baghdad_ws/glass/ins_glass_02break_-5100_2677_165.vmt   (Material,  159 bytes)
materials/maps/baghdad_ws/glass/ins_glass_02_-5100_2677_165.vmt   (Material,  209 bytes)
materials/maps/baghdad_ws/maps/iraq/building_wall12f_stw_-4178_2082_311.vmt   (Material,  143 bytes)
materials/maps/baghdad_ws/maps/store/storefront_01a_stw_-6278_1931_135.vmt   (Material,  142 bytes)
materials/maps/baghdad_ws/glass/ins_glass_02break_-6034_1941_264.vmt   (Material,  159 bytes)
materials/maps/baghdad_ws/glass/ins_glass_02_-6034_1941_264.vmt   (Material,  209 bytes)
materials/maps/baghdad_ws/maps/store/storefront_01b_stw_-6034_1941_264.vmt   (Material,  142 bytes)
materials/maps/baghdad_ws/maps/store/storefront_02b_stw_-6926_158_243.vmt   (Material,  141 bytes)
materials/maps/baghdad_ws/maps/store/storefront_02d_stw_-6926_158_243.vmt   (Material,  141 bytes)
materials/maps/baghdad_ws/maps/iraq/building_wall13h_stw_-6893_-100_117.vmt   (Material,  143 bytes)
materials/maps/baghdad_ws/glass/ins_glass_02break_-6912_-1329_107.vmt   (Material,  160 bytes)
materials/maps/baghdad_ws/glass/ins_glass_02_-6912_-1329_107.vmt   (Material,  211 bytes)
materials/maps/baghdad_ws/maps/store/storefront_02a_stw_-6912_-1329_107.vmt   (Material,  143 bytes)
materials/maps/baghdad_ws/maps/store/storefront_02d_stw_-6912_-1329_107.vmt   (Material,  143 bytes)
materials/maps/baghdad_ws/maps/iraq/building_wall13h_stw_-6912_-1329_107.vmt   (Material,  144 bytes)
materials/maps/baghdad_ws/maps/iraq/building_wall13c_stw_-5306_-1122_124.vmt   (Material,  144 bytes)
materials/maps/baghdad_ws/maps/store/storefront_01b_stw_-2568_2146_120.vmt   (Material,  142 bytes)
materials/maps/baghdad_ws/maps/iraq/building_wall12f_stw_-1214_2578_136.vmt   (Material,  143 bytes)
materials/maps/baghdad_ws/maps/iraq/building_wall12b_stw_-2568_2146_120.vmt   (Material,  143 bytes)
materials/maps/baghdad_ws/maps/wall/mosquewall02_oog_-1970_-175_164.vmt   (Material,  139 bytes)
materials/maps/baghdad_ws/maps/iraq/building_wall12b_stw_-3437_1333_116.vmt   (Material,  143 bytes)
materials/maps/baghdad_ws/maps/iraq/building_wall12b_stw_-1618_870_136.vmt   (Material,  142 bytes)
materials/maps/baghdad_ws/maps/iraq/building_wall12b_stw_-2773_131_116.vmt   (Material,  142 bytes)
materials/maps/baghdad_ws/maps/store/storefront_02b_stw_-1320_-1245_340.vmt   (Material,  143 bytes)
materials/maps/baghdad_ws/maps/iraq/building_wall12b_stw_-1320_-1245_340.vmt   (Material,  144 bytes)
materials/maps/baghdad_ws/maps/window/window04b_spi_mask_-7728_-2182_119.vmt   (Material,  144 bytes)
