Pakrat v0.95 - by Rof (rof@mellish.org.uk)
Listing pak files from /home/insserver/serverfiles/insurgency/maps/downtown.bsp
Pak file at offset 54920112, length 26019547 bytes
Pak lump entries: 7446
materials/maps/downtown/maps/market/mog_plaster_brown_05_blend_wvt_patch.vmt   (Material,  324 bytes)
materials/maps/downtown/maps/revolt/rev_stone_01_blend_wvt_patch.vmt   (Material,  202 bytes)
materials/maps/downtown/maps/ramadi/blend_ram_dirt_road_02_wvt_patch.vmt   (Material,  170 bytes)
materials/maps/downtown/maps/terrain/blend_af_grass03_concrete_wvt_patch.vmt   (Material,  185 bytes)
materials/maps/downtown/maps/ramadi/blend_ram_dirt_01_tilesfloor002_wvt_patch.vmt   (Material,  170 bytes)
materials/maps/downtown/maps/ramadi/blend_ram_rubble_01_wvt_patch.vmt   (Material,  170 bytes)
materials/maps/downtown/maps/market/mog_plaster_brown_04_blend_wvt_patch.vmt   (Material,  324 bytes)
materials/maps/downtown/maps/afghanistan/afg_blendwall_01c_wvt_patch.vmt   (Material,  161 bytes)
materials/maps/downtown/maps/market/mog_plaster_02_blend_wvt_patch.vmt   (Material,  155 bytes)
materials/maps/downtown/maps/market/mog_plaster_brown_03_blend_wvt_patch.vmt   (Material,  324 bytes)
materials/maps/downtown/maps/trim/trim01_-128_3360_456.vmt   (Material,  126 bytes)
materials/maps/downtown/maps/trim/concretestair002_-1920_1152_384.vmt   (Material,  137 bytes)
materials/maps/downtown/maps/trim/concretestair002_-1920_2688_384.vmt   (Material,  137 bytes)
materials/maps/downtown/maps/trim/trim01_1056_-864_208.vmt   (Material,  126 bytes)
materials/maps/downtown/maps/trim/trim01_256_-864_192.vmt   (Material,  125 bytes)
materials/maps/downtown/maps/trim/trim01_-1920_3456_384.vmt   (Material,  127 bytes)
materials/maps/downtown/maps/trim/concretestair002_2256_616_448.vmt   (Material,  135 bytes)
materials/maps/downtown/maps/trim/trim01_128_0_384.vmt   (Material,  122 bytes)
materials/maps/downtown/maps/trim/trim01_1664_320_224.vmt   (Material,  125 bytes)
materials/maps/downtown/maps/trim/trim01_2256_616_448.vmt   (Material,  125 bytes)
materials/maps/downtown/maps/trim/trim01_944_2040_448.vmt   (Material,  125 bytes)
materials/maps/downtown/maps/trim/trim01_-712_768_208.vmt   (Material,  125 bytes)
materials/maps/downtown/maps/trim/trim01_176_-144_448.vmt   (Material,  125 bytes)
materials/maps/downtown/maps/trim/trim01_960_-608_208.vmt   (Material,  125 bytes)
materials/maps/downtown/maps/tile/tile002b_-1728_-192_224.vmt   (Material,  129 bytes)
materials/maps/downtown/maps/tile/tile002b_2256_616_448.vmt   (Material,  127 bytes)
materials/maps/downtown/maps/tile/tile002b_176_-144_448.vmt   (Material,  127 bytes)
materials/maps/downtown/maps/tile/tile002b_256_-864_192.vmt   (Material,  127 bytes)
materials/maps/downtown/maps/tile/tile002b_768_-896_208.vmt   (Material,  127 bytes)
materials/maps/downtown/maps/tile/tile002b_1056_-864_208.vmt   (Material,  128 bytes)
materials/maps/downtown/maps/tile/tile002b_1744_-16_224.vmt   (Material,  127 bytes)
materials/maps/downtown/maps/trim/ir_trim04_256_-864_192.vmt   (Material,  128 bytes)
materials/maps/downtown/maps/trim/ir_trim04_-3136_1664_230.vmt   (Material,  130 bytes)
materials/maps/downtown/maps/trim/ir_trim04_-1728_-192_224.vmt   (Material,  130 bytes)
materials/maps/downtown/maps/trim/ir_trim04_-2432_352_224.vmt   (Material,  129 bytes)
materials/maps/downtown/maps/trim/trim06_-1728_-192_224.vmt   (Material,  127 bytes)
materials/maps/downtown/maps/trim/ir_trim06_-2432_352_224.vmt   (Material,  129 bytes)
materials/maps/downtown/maps/trim/trim06_-2432_352_224.vmt   (Material,  126 bytes)
materials/maps/downtown/maps/tile/tile004_1744_-16_224.vmt   (Material,  126 bytes)
materials/maps/downtown/maps/trim/ir_trim04_1744_-16_224.vmt   (Material,  128 bytes)
materials/maps/downtown/maps/trim/ir_trim04_2256_616_448.vmt   (Material,  128 bytes)
materials/maps/downtown/maps/tile/tile004_2256_616_448.vmt   (Material,  126 bytes)
materials/maps/downtown/maps/trim/ir_trim04_2624_1152_448.vmt   (Material,  129 bytes)
materials/maps/downtown/maps/trim/trim06_2624_1152_448.vmt   (Material,  126 bytes)
materials/maps/downtown/maps/trim/trim06_2256_616_448.vmt   (Material,  125 bytes)
materials/maps/downtown/maps/trim/trim01_2624_1152_448.vmt   (Material,  126 bytes)
materials/maps/downtown/maps/plaster/ir_plaster17_2624_1152_448.vmt   (Material,  135 bytes)
materials/maps/downtown/maps/tile/tile004_2624_1152_448.vmt   (Material,  127 bytes)
materials/maps/downtown/maps/trim/ir_trim04_-128_3360_456.vmt   (Material,  129 bytes)
materials/maps/downtown/maps/trim/ir_trim06_-3136_1664_230.vmt   (Material,  130 bytes)
materials/maps/downtown/maps/trim/ir_trim06_256_-864_192.vmt   (Material,  128 bytes)
materials/maps/downtown/maps/trim/trim06_-3136_1664_230.vmt   (Material,  127 bytes)
materials/maps/downtown/maps/tile/tile004_-3136_2048_230.vmt   (Material,  128 bytes)
materials/maps/downtown/maps/trim/ir_trim04_-3136_2048_230.vmt   (Material,  130 bytes)
materials/maps/downtown/maps/trim/trim06_1744_-16_224.vmt   (Material,  125 bytes)
materials/maps/downtown/maps/trim/ir_trim06_2256_616_448.vmt   (Material,  128 bytes)
materials/maps/downtown/maps/trim/ir_trim04_-1920_3456_384.vmt   (Material,  130 bytes)
materials/maps/downtown/maps/trim/ir_trim04_0_3008_456.vmt   (Material,  126 bytes)
materials/maps/downtown/maps/trim/ir_trim04_0_3008_232.vmt   (Material,  126 bytes)
materials/maps/downtown/maps/trim/trim06_-1920_3456_384.vmt   (Material,  127 bytes)
materials/maps/downtown/maps/trim/trim06_0_3008_232.vmt   (Material,  123 bytes)
materials/maps/downtown/maps/trim/trim01_0_3008_456.vmt   (Material,  123 bytes)
materials/maps/downtown/maps/trim/trim06_-128_3360_456.vmt   (Material,  126 bytes)
materials/maps/downtown/maps/trim/ir_trim04_-704_3392_232.vmt   (Material,  129 bytes)
