Pakrat v0.95 - by Rof (rof@mellish.org.uk)
Listing pak files from /home/insserver/serverfiles/insurgency/maps/healthcenter_coop_20.bsp
Pak file at offset 23339574, length 52875258 bytes
Pak lump entries: 1617
materials/maps/healthcenter_coop2/maps/ramadi/blend_ram_dirt_road_01_wvt_patch.vmt   (Material,  170 bytes)
materials/maps/healthcenter_coop2/maps/ramadi/blend_ram_rubble_01_wvt_patch.vmt   (Material,  170 bytes)
materials/maps/healthcenter_coop2/maps/terrain/blend_af_grass03_spring_grass02_wvt_patch.vmt   (Material,  372 bytes)
materials/maps/healthcenter_coop2/maps/terrain/blend_af_dirt_sand_wvt_patch.vmt   (Material,  180 bytes)
materials/maps/healthcenter_coop2/maps/mogadishu/blend_mog_road_02_wvt_patch.vmt   (Material,  175 bytes)
materials/maps/healthcenter_coop2/maps/terrain/blend_af_sand_ir_tilefloor01e_wvt_patch.vmt   (Material,  189 bytes)
materials/maps/healthcenter_coop2/maps/metal/brushed_metal_736_-271_5.vmt   (Material,  141 bytes)
materials/maps/healthcenter_coop2/maps/metal/brushed_metal_742_-271_-205.vmt   (Material,  144 bytes)
materials/maps/healthcenter_coop2/maps/brick/ch_brickwall2_619_-733_-211.vmt   (Material,  144 bytes)
materials/maps/healthcenter_coop2/maps/brick/ch_brickwall2_742_-271_-205.vmt   (Material,  144 bytes)
materials/maps/healthcenter_coop2/maps/brick/ch_brickwall2_736_-271_5.vmt   (Material,  141 bytes)
materials/maps/healthcenter_coop2/maps/brick/ch_brickwall2_630_121_-210.vmt   (Material,  143 bytes)
materials/maps/healthcenter_coop2/maps/tile/upr_tile_floor_02_-191_262_113.vmt   (Material,  146 bytes)
materials/maps/healthcenter_coop2/maps/tile/upr_tile_floor_03_742_-271_-205.vmt   (Material,  147 bytes)
materials/maps/healthcenter_coop2/floor/mixtile/gray-red/inlay2_736_-271_5.vmt   (Material,  146 bytes)
materials/maps/healthcenter_coop2/vehicle/rubbertrainfloor001a_736_-271_5.vmt   (Material,  145 bytes)
materials/maps/healthcenter_coop2/maps/brick/ch_brickwall2_1515_-317_-468.vmt   (Material,  145 bytes)
materials/maps/healthcenter_coop2/maps/brick/ch_brickwall2_262_-1325_-204.vmt   (Material,  145 bytes)
materials/maps/healthcenter_coop2/maps/brick/ch_brickwall2_728_1335_-468.vmt   (Material,  144 bytes)
materials/maps/healthcenter_coop2/maps/brick/ch_brickwall2_1314_284_-203.vmt   (Material,  144 bytes)
materials/maps/healthcenter_coop2/maps/brick/ch_brickwall2_702_952_20.vmt   (Material,  141 bytes)
materials/maps/healthcenter_coop2/maps/brick/ch_brickwall2_263_1102_-468.vmt   (Material,  144 bytes)
materials/maps/healthcenter_coop2/maps/ministry/floor_basement_01_262_-1325_-204.vmt   (Material,  152 bytes)
materials/maps/healthcenter_coop2/maps/ministry/floor_basement_01_736_-271_5.vmt   (Material,  148 bytes)
materials/maps/healthcenter_coop2/maps/ministry/floor_basement_01_174_-614_-468.vmt   (Material,  151 bytes)
materials/maps/healthcenter_coop2/maps/brick/ch_brickwall2_174_-614_-468.vmt   (Material,  144 bytes)
materials/maps/healthcenter_coop2/maps/stone/stonewall009_728_1335_-468.vmt   (Material,  143 bytes)
materials/maps/healthcenter_coop2/maps/stone/stonewall009_-14_-824_20.vmt   (Material,  141 bytes)
materials/maps/healthcenter_coop2/maps/stone/stonewall009_262_-1325_-204.vmt   (Material,  144 bytes)
materials/maps/healthcenter_coop2/maps/stone/stonewall009_-109_693_-405.vmt   (Material,  143 bytes)
materials/maps/healthcenter_coop2/maps/stone/stonewall009_263_1102_-468.vmt   (Material,  143 bytes)
materials/maps/healthcenter_coop2/maps/stone/stonewall009_1314_284_-203.vmt   (Material,  143 bytes)
materials/maps/healthcenter_coop2/maps/stone/stonewall009_736_-271_5.vmt   (Material,  140 bytes)
materials/maps/healthcenter_coop2/maps/metal/metalpanel008a_736_-271_5.vmt   (Material,  142 bytes)
materials/maps/healthcenter_coop2/maps/metal/metalpanel008a_675_1031_-217.vmt   (Material,  145 bytes)
materials/maps/healthcenter_coop2/maps/metal/metalpanel008a_262_909_-211.vmt   (Material,  144 bytes)
materials/maps/healthcenter_coop2/maps/metal/metalpanel008a_728_1335_-468.vmt   (Material,  145 bytes)
materials/maps/healthcenter_coop2/maps/metal/metalpanel008a_262_608_20.vmt   (Material,  142 bytes)
materials/maps/healthcenter_coop2/maps/metal/metalpanel008a_702_952_20.vmt   (Material,  142 bytes)
materials/maps/healthcenter_coop2/maps/brick/ch_brickwall2_262_94_20.vmt   (Material,  140 bytes)
materials/maps/healthcenter_coop2/maps/brick/ch_brickwall2_262_608_20.vmt   (Material,  141 bytes)
materials/maps/healthcenter_coop2/maps/tile/upr_tile_floor_01b_262_94_20.vmt   (Material,  144 bytes)
materials/maps/healthcenter_coop2/maps/tile/upr_tile_floor_01_262_608_20.vmt   (Material,  144 bytes)
materials/maps/healthcenter_coop2/maps/tile/upr_tile_floor_01_262_94_20.vmt   (Material,  143 bytes)
materials/maps/healthcenter_coop2/maps/tile/upr_tile_floor_01b_262_608_20.vmt   (Material,  145 bytes)
materials/maps/healthcenter_coop2/maps/tile/upr_tile_floor_01_630_121_-210.vmt   (Material,  146 bytes)
materials/maps/healthcenter_coop2/maps/ministry/floor_basement_01_619_-733_-211.vmt   (Material,  151 bytes)
materials/maps/healthcenter_coop2/maps/tile/upr_tile_floor_02_803_-702_-6.vmt   (Material,  145 bytes)
materials/maps/healthcenter_coop2/maps/tile/upr_tile_floor_02_262_-1325_-204.vmt   (Material,  148 bytes)
materials/maps/healthcenter_coop2/maps/metal/metalpanel008b_1131_-280_-97.vmt   (Material,  145 bytes)
materials/maps/healthcenter_coop2/maps/metal/metalpanel008b_1515_-317_-468.vmt   (Material,  146 bytes)
materials/maps/healthcenter_coop2/maps/metal/metalpanel008b_736_-271_5.vmt   (Material,  142 bytes)
materials/maps/healthcenter_coop2/maps/metal/metalpanel008b_803_-702_-6.vmt   (Material,  143 bytes)
materials/maps/healthcenter_coop2/maps/metal/metalpanel008b_262_-1325_-204.vmt   (Material,  146 bytes)
materials/maps/healthcenter_coop2/maps/metal/metalpanel008b_1314_284_-203.vmt   (Material,  145 bytes)
materials/maps/healthcenter_coop2/dev/dev_water2_736_-271_5.vmt   (Material,  154 bytes)
materials/maps/healthcenter_coop2/dev/dev_water2_1314_284_-203.vmt   (Material,  157 bytes)
materials/maps/healthcenter_coop2/maps/metal/metalpanel008b_263_1102_-468.vmt   (Material,  145 bytes)
materials/maps/healthcenter_coop2/maps/metal/metalpanel008b_675_1031_-217.vmt   (Material,  145 bytes)
materials/maps/healthcenter_coop2/maps/metal/metalpanel008b_262_909_-211.vmt   (Material,  144 bytes)
materials/maps/healthcenter_coop2/maps/metal/metalpanel008b_728_1335_-468.vmt   (Material,  145 bytes)
materials/maps/healthcenter_coop2/maps/ministry/floor_basement_01_262_909_-211.vmt   (Material,  150 bytes)
materials/maps/healthcenter_coop2/maps/ministry/floor_basement_01_-109_693_-405.vmt   (Material,  151 bytes)
materials/maps/healthcenter_coop2/maps/brick/ch_brickwall2_803_-702_-6.vmt   (Material,  142 bytes)
materials/maps/healthcenter_coop2/maps/brick/ch_brickwall2_262_909_-211.vmt   (Material,  143 bytes)
materials/maps/healthcenter_coop2/maps/metal/metalpanel008b_227_111_-221.vmt   (Material,  144 bytes)
materials/maps/healthcenter_coop2/maps/metal/metalpanel008b_262_94_20.vmt   (Material,  141 bytes)
materials/maps/healthcenter_coop2/maps/metal/metalpanel008b_262_-350_20.vmt   (Material,  143 bytes)
materials/maps/healthcenter_coop2/maps/metal/metalpanel008b_-39_189_-406.vmt   (Material,  144 bytes)
materials/maps/healthcenter_coop2/maps/metal/metalpanel008b_630_121_-210.vmt   (Material,  144 bytes)
materials/maps/healthcenter_coop2/maps/metal/metalpanel008b_174_-614_-468.vmt   (Material,  145 bytes)
materials/maps/healthcenter_coop2/maps/metal/metalpanel008b_742_-271_-205.vmt   (Material,  145 bytes)
materials/maps/healthcenter_coop2/maps/brick/ch_brickwall2_227_111_-221.vmt   (Material,  143 bytes)
materials/maps/healthcenter_coop2/maps/brick/ir_brick02b_262_909_-211.vmt   (Material,  141 bytes)
materials/maps/healthcenter_coop2/maps/brick/ir_brick02b_-14_-824_20.vmt   (Material,  140 bytes)
materials/maps/healthcenter_coop2/maps/brick/ch_brickwall2_262_-350_20.vmt   (Material,  142 bytes)
materials/maps/healthcenter_coop2/maps/ministry/floor_basement_01_263_1102_-468.vmt   (Material,  151 bytes)
materials/maps/healthcenter_coop2/maps/metal/metalpanel008b_-191_262_113.vmt   (Material,  144 bytes)
materials/maps/healthcenter_coop2/maps/metal/metalpanel008b_-109_693_-405.vmt   (Material,  145 bytes)
materials/maps/healthcenter_coop2/maps/metal/metalpanel008b_271_693_-420.vmt   (Material,  144 bytes)
materials/maps/healthcenter_coop2/maps/brick/ir_brick02b_736_-271_5.vmt   (Material,  139 bytes)
materials/maps/healthcenter_coop2/maps/brick/ir_brick02b_1314_284_-203.vmt   (Material,  142 bytes)
