Pakrat v0.95 - by Rof (rof@mellish.org.uk)
Listing pak files from /home/insserver/serverfiles/insurgency/maps/shrine.bsp
Pak file at offset 33418616, length 141219496 bytes
Pak lump entries: 1342
materials/maps/shrine/nature/nijo_grasstogravel_ivy_wvt_patch.vmt   (Material,  235 bytes)
materials/maps/shrine/nature/blend_ivy1_wvt_patch.vmt   (Material,  348 bytes)
materials/maps/shrine/nature/rockwall1_grass_ivy_wvt_patch.vmt   (Material,  313 bytes)
materials/maps/shrine/maps/verticality/blends/blend_vert_concrete_01_wvt_patch.vmt   (Material,  185 bytes)
materials/maps/shrine/wall/extwall3b_-64_1024_128.vmt   (Material,  121 bytes)
materials/maps/shrine/nature/nijo_water_-2628_4472_76.vmt   (Material,  125 bytes)
materials/maps/shrine/nature/nijo_water_-2048_4648_76.vmt   (Material,  125 bytes)
materials/maps/shrine/nature/nijo_water_-1452_4933_112.vmt   (Material,  126 bytes)
materials/maps/shrine/nature/nijo_water_-1432_5641_112.vmt   (Material,  126 bytes)
materials/maps/shrine/wall/woodwall3_1088_1536_134.vmt   (Material,  122 bytes)
materials/maps/shrine/wall/woodwall3_-64_1024_128.vmt   (Material,  121 bytes)
materials/maps/shrine/wall/woodwall3_824_2568_134.vmt   (Material,  121 bytes)
materials/maps/shrine/wall/woodwall1_ivy_64_5056_128.vmt   (Material,  124 bytes)
materials/maps/shrine/wall/woodwall1_ivy_577_5150_128.vmt   (Material,  125 bytes)
materials/maps/shrine/wall/woodwall1_ivy_1132_4744_128.vmt   (Material,  126 bytes)
materials/maps/shrine/wall/woodwall1_ivy_152_5696_136.vmt   (Material,  125 bytes)
materials/maps/shrine/wall/woodwall1_ivy_-728_4044_151.vmt   (Material,  126 bytes)
materials/maps/shrine/door/temple_doorc_sg_-1144_3680_158.vmt   (Material,  129 bytes)
materials/maps/shrine/door/temple_doorca_sg_-1144_3680_158.vmt   (Material,  130 bytes)
materials/maps/shrine/wall/woodwall1_ivy_768_5868_128.vmt   (Material,  125 bytes)
materials/maps/shrine/nature/gravel02_sg_80_1520_128.vmt   (Material,  124 bytes)
materials/maps/shrine/nature/gravel02_sg_-304_1592_148.vmt   (Material,  126 bytes)
materials/maps/shrine/nature/gravel02_sg_-384_1824_128.vmt   (Material,  126 bytes)
materials/maps/shrine/nature/gravel02_sg_496_1520_128.vmt   (Material,  125 bytes)
materials/maps/shrine/nature/gravel02_sg_-64_1024_128.vmt   (Material,  125 bytes)
materials/maps/shrine/nature/gravel02b_sg_80_1520_128.vmt   (Material,  125 bytes)
materials/maps/shrine/nature/gravel02b_sg_-304_1592_148.vmt   (Material,  127 bytes)
materials/maps/shrine/nature/gravel02b_sg_-384_1824_128.vmt   (Material,  127 bytes)
materials/maps/shrine/nature/gravel02b_sg_-64_1024_128.vmt   (Material,  126 bytes)
materials/maps/shrine/nature/gravel02b_sg_496_1520_128.vmt   (Material,  126 bytes)
materials/maps/shrine/nature/gravel02_sg_1088_1536_134.vmt   (Material,  126 bytes)
materials/maps/shrine/nature/gravel02b_sg_896_3200_134.vmt   (Material,  126 bytes)
materials/maps/shrine/nature/gravel02b_sg_-2048_4648_76.vmt   (Material,  127 bytes)
materials/maps/shrine/nature/gravel02b_sg_320_3040_134.vmt   (Material,  126 bytes)
materials/maps/shrine/nature/gravel02b_sg_432_3456_134.vmt   (Material,  126 bytes)
materials/maps/shrine/nature/gravel02_sg_896_3200_134.vmt   (Material,  125 bytes)
materials/maps/shrine/nature/gravel02_sg_-2048_4648_76.vmt   (Material,  126 bytes)
materials/maps/shrine/nature/gravel02_sg_824_2568_134.vmt   (Material,  125 bytes)
materials/maps/shrine/nature/gravel02_sg_432_3456_134.vmt   (Material,  125 bytes)
materials/maps/shrine/nature/gravel02_sg_944_3712_134.vmt   (Material,  125 bytes)
materials/maps/shrine/nature/gravel02_sg_1132_4744_128.vmt   (Material,  126 bytes)
materials/maps/shrine/nature/gravel02b_sg_944_3712_134.vmt   (Material,  126 bytes)
materials/maps/shrine/nature/gravel02b_sg_1132_4744_128.vmt   (Material,  127 bytes)
materials/maps/shrine/wall/templetrimdetail_a_496_1520_128.vmt   (Material,  130 bytes)
materials/maps/shrine/wall/templetrimdetail_a_-1048_784_128.vmt   (Material,  131 bytes)
materials/maps/shrine/wall/templetrimdetail_a_-1960_784_128.vmt   (Material,  131 bytes)
materials/maps/shrine/wall/extwall3b_-1048_784_128.vmt   (Material,  122 bytes)
materials/maps/shrine/wall/templetrimdetail_a_-64_1024_128.vmt   (Material,  130 bytes)
materials/maps/shrine/wall/extwall3b_1088_1536_134.vmt   (Material,  122 bytes)
materials/maps/shrine/wall/extwall3b_-1960_784_128.vmt   (Material,  122 bytes)
materials/maps/shrine/wall/extwall3b_-2416_1024_152.vmt   (Material,  123 bytes)
materials/maps/shrine/wall/extwall3b_496_1520_128.vmt   (Material,  121 bytes)
materials/maps/shrine/base/wood/wood01_-192_5728_128.vmt   (Material,  124 bytes)
materials/maps/shrine/base/wood/wood01_768_5868_128.vmt   (Material,  123 bytes)
materials/maps/shrine/base/wood/wood01_-1392_2326_152.vmt   (Material,  125 bytes)
materials/maps/shrine/base/wood/wood01_-1824_2416_152.vmt   (Material,  125 bytes)
materials/maps/shrine/base/wood/wood01_-240_2512_136.vmt   (Material,  124 bytes)
materials/maps/shrine/base/wood/wood01_-356_3040_151.vmt   (Material,  124 bytes)
materials/maps/shrine/door/temple_doorb_sg_-2723_5498_193.vmt   (Material,  129 bytes)
materials/maps/shrine/door/temple_doorb_sg_-2368_5496_184.vmt   (Material,  129 bytes)
materials/maps/shrine/door/temple_doorb_sg_-2720_5248_172.vmt   (Material,  129 bytes)
materials/maps/shrine/door/temple_doorb_sg_-1432_5641_112.vmt   (Material,  129 bytes)
materials/maps/shrine/door/temple_doorb_sg_-3072_5496_184.vmt   (Material,  129 bytes)
materials/maps/shrine/wall/woodwall4_-768_1896_152.vmt   (Material,  122 bytes)
materials/maps/shrine/wall/woodwall4_-1134_1902_152.vmt   (Material,  123 bytes)
materials/maps/shrine/base/wood/wood01_-2416_1024_152.vmt   (Material,  125 bytes)
materials/maps/shrine/base/wood/wood01_-1048_784_128.vmt   (Material,  124 bytes)
materials/maps/shrine/base/wood/wood01_-1960_784_128.vmt   (Material,  124 bytes)
materials/maps/shrine/wall/woodwall4_-856_2272_152.vmt   (Material,  122 bytes)
materials/maps/shrine/base/wood/wood01_-1432_5641_112.vmt   (Material,  125 bytes)
materials/maps/shrine/base/wood/wood01_-64_1024_128.vmt   (Material,  123 bytes)
materials/maps/shrine/wall/woodwall4_-1432_5641_112.vmt   (Material,  123 bytes)
materials/maps/shrine/wall/woodwall4_-384_1824_128.vmt   (Material,  122 bytes)
materials/maps/shrine/wall/woodwall4_-2048_4648_76.vmt   (Material,  122 bytes)
materials/maps/shrine/base/wood/wood01_-2048_2112_152.vmt   (Material,  125 bytes)
materials/maps/shrine/base/wood/wood01_-1644_1888_152.vmt   (Material,  125 bytes)
materials/maps/shrine/base/wood/wood01_-728_4044_151.vmt   (Material,  124 bytes)
materials/maps/shrine/base/wood/wood01_-384_4288_128.vmt   (Material,  124 bytes)
materials/maps/shrine/base/wood/wood01_-1386_1620_152.vmt   (Material,  125 bytes)
materials/maps/shrine/wall/temple_wood_-1368_3272_151.vmt   (Material,  125 bytes)
materials/maps/shrine/wall/temple_wood_-920_3072_151.vmt   (Material,  124 bytes)
materials/maps/shrine/wall/temple_wood_-917_3292_151.vmt   (Material,  124 bytes)
materials/maps/shrine/wall/temple_wood_-2723_5498_193.vmt   (Material,  125 bytes)
materials/maps/shrine/wall/temple_wood_-816_3624_158.vmt   (Material,  124 bytes)
materials/maps/shrine/door/temple_doord_sg_-920_3072_151.vmt   (Material,  128 bytes)
materials/maps/shrine/wall/temple_wood_-2368_5496_184.vmt   (Material,  125 bytes)
materials/maps/shrine/wall/woodwall1_ivy_-3072_5496_184.vmt   (Material,  127 bytes)
materials/maps/shrine/wall/woodwall1_ivy_-2368_5496_184.vmt   (Material,  127 bytes)
materials/maps/shrine/wall/woodwall1_ivy_-2720_5248_172.vmt   (Material,  127 bytes)
materials/maps/shrine/wall/woodwall1_ivy_-192_5728_128.vmt   (Material,  126 bytes)
materials/maps/shrine/wall/woodwall1_ivy_-1432_5641_112.vmt   (Material,  127 bytes)
materials/maps/shrine/wall/woodwall1_ivy_-2723_5498_193.vmt   (Material,  127 bytes)
materials/maps/shrine/wall/temple_wood_-3072_5496_184.vmt   (Material,  125 bytes)
materials/maps/shrine/wall/temple_wood_-2720_5248_172.vmt   (Material,  125 bytes)
materials/maps/shrine/wall/temple_wood_-192_5728_128.vmt   (Material,  124 bytes)
materials/maps/shrine/wall/woodwall7_-3072_5496_184.vmt   (Material,  123 bytes)
materials/maps/shrine/wall/woodwall7_-1432_5641_112.vmt   (Material,  123 bytes)
materials/maps/shrine/wall/woodwall7_-2723_5498_193.vmt   (Material,  123 bytes)
materials/maps/shrine/wall/temple_wood_-1432_5641_112.vmt   (Material,  125 bytes)
materials/maps/shrine/wall/woodwall7_-2368_5496_184.vmt   (Material,  123 bytes)
materials/maps/shrine/wall/woodwall7_-2720_5248_172.vmt   (Material,  123 bytes)
materials/maps/shrine/maps/trim/concretestair002_-2048_2112_152.vmt   (Material,  135 bytes)
materials/maps/shrine/maps/trim/concretestair002_-2416_1024_152.vmt   (Material,  135 bytes)
materials/maps/shrine/maps/trim/concretestair002_-2048_2288_152.vmt   (Material,  135 bytes)
materials/maps/shrine/wall/woodwall4_64_5056_128.vmt   (Material,  120 bytes)
materials/maps/shrine/wall/woodwall4_152_5696_136.vmt   (Material,  121 bytes)
materials/maps/shrine/wall/woodwall4_768_5868_128.vmt   (Material,  121 bytes)
materials/maps/shrine/wall/woodwall4_-192_5728_128.vmt   (Material,  122 bytes)
materials/maps/shrine/wall/woodwall4_577_5150_128.vmt   (Material,  121 bytes)
materials/maps/shrine/wall/temple_wood_-356_3040_151.vmt   (Material,  124 bytes)
materials/maps/shrine/wall/temple_wood_-240_2512_136.vmt   (Material,  124 bytes)
materials/maps/shrine/wall/temple_wood_320_3040_134.vmt   (Material,  123 bytes)
