Pakrat v0.95 - by Rof (rof@mellish.org.uk)
Listing pak files from /home/insserver/serverfiles/insurgency/maps/sinjar_night.bsp
Pak file at offset 37925896, length 19560420 bytes
Pak lump entries: 2131
materials/maps/sinjar_night/maps/buhriz/buh_blend_sand_01_wvt_patch.vmt   (Material,  180 bytes)
materials/maps/sinjar_night/maps/afghanistan/afg_blendwall_02_wvt_patch.vmt   (Material,  163 bytes)
materials/maps/sinjar_night/maps/market/mog_plaster_brown_05_blend_wvt_patch.vmt   (Material,  325 bytes)
materials/maps/sinjar_night/maps/market/mog_plaster_01_blend_wvt_patch.vmt   (Material,  155 bytes)
materials/maps/sinjar_night/maps/market/mog_plaster_brown_03_blend_wvt_patch.vmt   (Material,  325 bytes)
materials/maps/sinjar_night/maps/terrain/blend_af_sand_ir_tilefloor01e_wvt_patch.vmt   (Material,  189 bytes)
materials/maps/sinjar_night/maps/sinjar/sin_floor_blend_wvt_patch.vmt   (Material,  189 bytes)
materials/maps/sinjar_night/maps/market/mog_plaster_02_blend_wvt_patch.vmt   (Material,  155 bytes)
materials/maps/sinjar_night/maps/market/mog_plaster_blue_02b_blend_wvt_patch.vmt   (Material,  82 bytes)
materials/maps/sinjar_night/maps/sinjar/sin_road_blend_02_wvt_patch.vmt   (Material,  200 bytes)
materials/maps/sinjar_night/maps/sinjar/sin_intwall_blend_wvt_patch.vmt   (Material,  286 bytes)
materials/maps/sinjar_night/maps/tile/upr_tile_floor_02b_3378_66_-20.vmt   (Material,  140 bytes)
materials/maps/sinjar_night/maps/brick/ir_brick04_2470_-292_-366.vmt   (Material,  136 bytes)
materials/maps/sinjar_night/maps/brick/ir_brick04_2762_-292_-366.vmt   (Material,  136 bytes)
materials/maps/sinjar_night/maps/tile/upr_tile_floor_01b_4144_938_-20.vmt   (Material,  141 bytes)
materials/maps/sinjar_night/maps/trim/concretestair002_96_2134_-138.vmt   (Material,  139 bytes)
materials/maps/sinjar_night/maps/trim/concretestair002_406_2146_-138.vmt   (Material,  140 bytes)
materials/maps/sinjar_night/maps/trim/concretestair002_1088_2112_-192.vmt   (Material,  141 bytes)
materials/maps/sinjar_night/maps/trim/concretestair002_-128_1792_-224.vmt   (Material,  141 bytes)
materials/maps/sinjar_night/maps/trim/concretestair002_4992_-1024_-192.vmt   (Material,  142 bytes)
materials/maps/sinjar_night/maps/trim/concretestair002_5360_-1062_-268.vmt   (Material,  142 bytes)
materials/maps/sinjar_night/maps/trim/concretestair002_2944_-1408_-640.vmt   (Material,  142 bytes)
materials/maps/sinjar_night/maps/trim/concretestair002_-4472_-2222_-564.vmt   (Material,  143 bytes)
materials/maps/sinjar_night/maps/trim/concretestair002_4384_352_-30.vmt   (Material,  139 bytes)
materials/maps/sinjar_night/maps/trim/concretestair002_4672_646_-30.vmt   (Material,  139 bytes)
materials/maps/sinjar_night/maps/trim/concretestair002_4992_-384_-192.vmt   (Material,  141 bytes)
materials/maps/sinjar_night/maps/trim/concretestair002_5440_352_-160.vmt   (Material,  140 bytes)
materials/maps/sinjar_night/maps/trim/concretestair002_5570_-360_-288.vmt   (Material,  141 bytes)
materials/maps/sinjar_night/maps/trim/concretestair002_1740_1184_-30.vmt   (Material,  140 bytes)
materials/maps/sinjar_night/maps/door/garagedoor01a_4104_2554_-30.vmt   (Material,  137 bytes)
materials/maps/sinjar_night/maps/door/garagedoor01a_4320_2318_-30.vmt   (Material,  137 bytes)
materials/maps/sinjar_night/maps/tile/ir_tilesfloor01a_4402_576_-210.vmt   (Material,  140 bytes)
materials/maps/sinjar_night/maps/tile/upr_tile_floor_03b_4320_2318_-30.vmt   (Material,  142 bytes)
materials/maps/sinjar_night/maps/tile/upr_tile_floor_01b_4672_646_-30.vmt   (Material,  141 bytes)
materials/maps/sinjar_night/maps/tile/upr_tile_floor_03b_4104_2554_-30.vmt   (Material,  142 bytes)
materials/maps/sinjar_night/maps/tile/ir_tilesfloor01a_4760_1810_-30.vmt   (Material,  140 bytes)
materials/maps/sinjar_night/maps/tile/ir_tilesfloor01a_4504_1718_-154.vmt   (Material,  141 bytes)
materials/maps/sinjar_night/maps/tile/ir_tilesfloor01a_4684_1110_-30.vmt   (Material,  140 bytes)
materials/maps/sinjar_night/maps/tile/ir_tilesfloor01a_4506_1498_-154.vmt   (Material,  141 bytes)
materials/maps/sinjar_night/maps/trim/concretestair002_4760_1810_-30.vmt   (Material,  140 bytes)
materials/maps/sinjar_night/maps/trim/concretestair002_4504_1718_-154.vmt   (Material,  141 bytes)
materials/maps/sinjar_night/maps/trim/concretestair002_4684_1110_-30.vmt   (Material,  140 bytes)
materials/maps/sinjar_night/maps/trim/concretestair002_4506_1498_-154.vmt   (Material,  141 bytes)
materials/maps/sinjar_night/maps/tile/upr_tile_floor_01b_4764_1474_-30.vmt   (Material,  142 bytes)
materials/maps/sinjar_night/maps/tile/upr_tile_floor_02b_3446_432_-36.vmt   (Material,  141 bytes)
materials/maps/sinjar_night/maps/tile/upr_tile_floor_02b_3220_426_-36.vmt   (Material,  141 bytes)
materials/maps/sinjar_night/maps/tile/upr_tile_floor_02b_3342_664_-36.vmt   (Material,  141 bytes)
materials/maps/sinjar_night/maps/tile/ir_tilesfloor01a_3416_344_-202.vmt   (Material,  140 bytes)
materials/maps/sinjar_night/maps/trim/concretestair002_3342_664_-36.vmt   (Material,  139 bytes)
materials/maps/sinjar_night/maps/tile/upr_tile_floor_03b_4730_2200_-30.vmt   (Material,  142 bytes)
materials/maps/sinjar_night/maps/tile/upr_tile_floor_03b_4556_2738_-30.vmt   (Material,  142 bytes)
materials/maps/sinjar_night/maps/tile/upr_tile_floor_03b_4292_2738_-30.vmt   (Material,  142 bytes)
materials/maps/sinjar_night/maps/tile/upr_tile_floor_01b_4760_1810_-30.vmt   (Material,  142 bytes)
materials/maps/sinjar_night/maps/tile/upr_tile_floor_01b_4514_902_-30.vmt   (Material,  141 bytes)
materials/maps/sinjar_night/maps/tile/upr_tile_floor_01b_4830_1694_-214.vmt   (Material,  143 bytes)
materials/maps/sinjar_night/maps/tile/upr_tile_floor_03b_4824_1356_-214.vmt   (Material,  143 bytes)
materials/maps/sinjar_night/maps/trim/concretestair002_4144_938_-20.vmt   (Material,  139 bytes)
materials/maps/sinjar_night/maps/ceiling/ceiling001_3262_1468_-48.vmt   (Material,  137 bytes)
materials/maps/sinjar_night/maps/ceiling/ceiling001_3270_1468_-188.vmt   (Material,  138 bytes)
materials/maps/sinjar_night/maps/ceiling/ceiling001_2886_1498_-138.vmt   (Material,  138 bytes)
materials/maps/sinjar_night/maps/brick/ir_brick03_3270_1468_-188.vmt   (Material,  136 bytes)
materials/maps/sinjar_night/maps/brick/ir_brick03_3232_1950_-138.vmt   (Material,  136 bytes)
materials/maps/sinjar_night/maps/metal/metalpanel002_2762_-292_-366.vmt   (Material,  139 bytes)
materials/maps/sinjar_night/maps/metal/metalpanel002_3096_1476_-48.vmt   (Material,  138 bytes)
materials/maps/sinjar_night/maps/metal/metalpanel002_3270_1468_-188.vmt   (Material,  139 bytes)
materials/maps/sinjar_night/maps/metal/metalpanel002_2886_1498_-138.vmt   (Material,  139 bytes)
materials/maps/sinjar_night/maps/metal/metalpanel002_2600_1664_-136.vmt   (Material,  139 bytes)
